Id,Word,Transcription
84,REPROCESS,R IY P R AO S EH S
85,RINGGOLD,R IH NG G OW L D
86,BUSHY,B UH SH IY
87,TRANSGRESS,T R AE N Z G R EH S
88,LEAFLETS,L IY F L AH T S
89,MICKELBERRY,M IH K AH L B EH R IY
90,SZOKE,SH OW K
91,FILER,F AY L ER
92,MCDIVETT,M AH D IH V AH T
93,GRITES,G R AY T S
94,TIES,T AY Z
95,YOUNGSTER'S,Y AH NG S T ER Z
96,VANACORE,V AA N AA K AO R IY
97,PERRELL,P ER R EY L
98,SOLID,S AA L AH D
99,ALGAL,AE L G AH L
100,CASSADAY,K AE S AH D EY
101,ENDOCRINOLOGIST'S,EH N D OW K R AH N AA L AH JH AH S T S
102,WALDRUP,W AO L D R AH P
103,SANTULLI,S AA N T UW L IY
104,VINCENNES,V IH N S EH N AH S
105,MILIAN,M IH L IY AH N
106,HIEB,HH IY B
107,FIRESTORM,F AY R S T AO R M
108,GUADAGNO,G AA D AA G N OW
109,CORRIDOR,K AO R AH D ER
110,EMERALD,EH M ER R AH L D
111,MULTIPLIES,M AH L T AH P L AY Z
112,BELCASTRO,B EH L K AE S T R OW
113,SUPERGIANT,S UW P ER JH AY AH N T
114,CRISHMAN'S,K R IH SH M AH N Z
115,LORIA,L AO R IY AH
116,BUSINESSMAN,B IH Z N AH S M AE N
117,PREPONDERANCE,P R IY P AA N D R AH N S
118,MISSOURI,M AH Z ER AH
119,PAYMENT,P EY M AH N T
120,CANELO,K AH N EH L OW
121,STANCIL,S T AE N S IH L
122,PEPPERIDGE,P EH P R IH JH
123,MOSHUS,M UW SH AH S
124,PRESCRIBES,P R IY S K R AY B Z
125,HANNAHS,HH AE N AH Z
126,NEUROLOGIST,N UH R AA L AH JH AH S T
127,MATHEWS,M AE TH Y UW Z
128,GILBERT,G IH L B ER T
129,NARRATES,N EH R EY T S
130,XENOPHOBIA,Z EH N AH F OW B IY AH
131,BLISTER,B L IH S T ER
132,HENDY,HH EH N D IY
133,SONIER,S OW N IY ER
134,ADMINISTRATOR,AH D M IH N AH S T R EY T ER
135,SQUALL,S K W AO L
136,LOBERG,L OW B ER G
137,MEDITZ,M EH D IH T S
138,OAKLEY'S,OW K L IY Z
139,TESTAMENT,T EH S T AH M AH N T
140,RECOVERY'S,R IH K AH V R IY Z
141,MATASSA,M AA T AA S AH
142,REACTIVATE,R IY AE K T AH V EY T
143,FRAGER,F R EY G ER
144,NOWLAN,N AW L AH N
145,MCCAFFREY,M AH K AE F R IY
146,ELKHORN,EH L K HH AO R N
147,RIGGI,R IH JH IY
148,FRYER,F R AY ER
149,ONENESS,W AH N N AH S
150,MOVIE,M UW V IY
151,ADEQUATELY,AE D AH K W IH T L IY
152,WETHINGTON,W EH TH IH NG T AH N
153,ENEMAS,EH N AH M AH Z
154,VANORA,V AE N ER AH
155,LYNOTT,L AY N AH T
156,SCHREITER,SH R AY T ER
157,COPPERNOLL,K AH P ER N OW L
158,MORGENSTERN,M AO R G IH N S T ER N
159,FACTLY,F AE K T L IY
160,WALDBAUM,W AO L D B AW M
161,KERCHNER,K ER K N ER
162,DELGADIO,D EH L G AE D Y OW
163,JOSTLING,JH AA S L IH NG
164,PARTIALLY,P AA R SH AH L IY
165,RECESSED,R IH S EH S T
166,DABBLES,D AE B AH L Z
167,GEVING,JH IY V IH NG
168,FAULK,F AO K
169,EINSPAHR,AY N S P AA R
170,VESICLES,V EH Z IH K AH L Z
171,FRASER'S,F R EY Z ER Z
172,LAHMANN,L AA M AH N
173,FALLER,F AO L ER
174,BIRDWELL,B ER D W EH L
175,BLANCHET,B L AE N K IH T
176,LAMELY,L EY M L IY
177,SPILLERS,S P IH L ER Z
178,GEAR'S,G IH R Z
179,MEDLAND,M EH D L AH N D
180,FUNDS',F AH N D Z
181,SEITER,S AY T ER
182,GOODING,G UH D IH NG
183,BRUE,B R UW
184,DECEMBER,D IH S EH M B ER
185,INTERMAGNETICS,IH N T ER M AE G N EH T IH K S
186,ISAAK,IH S AA K
187,GIAQUINTO,JH AA K W IY N T OW
188,MALLRAT,M AO L R AE T
189,SABALAN,S AE B AH L AH N
190,DABBLING,D AE B L IH NG
191,GUIANA,G IY AA N AH
192,EXTERIORS,EH K S T IH R IY ER Z
193,BEDNARIK,B EH D N AA R IH K
194,BURDIN,B ER D IH N
195,YOKO,Y OW K OW
196,STAVINOHA,S T AE V IH N OW HH AH
197,COOPERRIDER,K UW P ER AY D ER
198,MOS,M AO S
199,ALFONS,AA L F OW N Z
200,COTA,K OW T AH
201,COSMOS,K AA Z M OW S
202,HAVER,HH EH V ER
203,ARGOSY,AA R G AH S IY
204,COVENANT,K AH V AH N AH N T
205,TCAS,T IY S IY EY EH S
206,NIGHTSTICK,N AY T S T IH K
207,NECROLOGIST,N AH K R AO L AH JH IH S T
208,REBACK,R IY B AE K
209,BAREFIELD,B AE R IH F IY L D
210,ARGUMENTATION,AA R G Y AH M EH N T EY SH AH N
211,GOVEA,G AH V IY AH
212,TSONGAS',S AO NG G AH S
213,PRESIDENTIAL'S,P R EH Z AH D EH N SH AH L Z
214,GUARANTOR,G EH R AH N T AO R
215,MULTIVALVE,M AH L T IY V AE L V
216,BROZOVICH,B R AA Z AH V IH CH
217,BLEAKEST,B L IY K AH S T
218,LOWS,L OW Z
219,COUNTERED,K AW N T ER D
220,LOUISIANIAN,L UW IY Z IY AE N IY AH N
221,GUILLAUME,G W IY L OW M
222,DIGITIZING,D IH JH AH T AY Z IH NG
223,MULVEY,M AH L V EY
224,CONCILIATORY,K AH N S IH L Y AH T AO R IY
225,MACHUCA,M AH CH UW K AH
226,MALLET,M AE L IH T
227,IMPORT,IH M P AO R T
228,GADD,G AE D
229,FORESEEN,F AO R S IY N
230,CRISSINGER,K R IH S IH N JH ER
231,TAVEL,T AA V EH L
232,POUTRE,P AW T ER
233,STALKERS,S T AO K ER Z
234,ELATERS,IH L EY T ER Z
235,CLANCY,K L AE N S IY
236,INTERFERONS,IH N T ER F IH R AA N Z
237,MATHENA,M AE TH IH N AH
238,TUDOR,T Y UW D ER
239,HIPPEST,HH IH P AH S T
240,HOMES',HH OW M Z
241,REVISIONIST,R IY V IH ZH AH N IH S T
242,DECONSTRUCTION,D IY K AH N S T R AH K SH AH N
243,ALLELIC,AH L EH L IH K
244,KOSKOTAS,K AO S K OW T AH S
245,ECHEMENDE,EH K AH M EH N D
246,GADE,G EY D
247,ARBOLEDA,AA R B OW L EH D AH
248,BOINK,B OY N K
249,VASLOV,V AE S L AA V
250,MARMER,M AA R M ER
251,PAM,P AE M
252,NIED,N IY D
253,ENABLER,EH N EY B AH L ER
254,BABIES,B EY B IY Z
255,WOMER,W OW M ER
256,TODAY,T AH D EY
257,CHRISTAL,K R IH S T AH L
258,COMBATS,K AH M B AE T S
259,STIMAC,S T IH M AH K
260,ANGUS,AE NG G AH S
261,ZIMMERMANN,Z IH M ER M AH N
262,MCKINNEY,M AH K IH N IY
263,GIRTMAN,G ER T M AH N
264,DEHUMIDIFIES,D IY HH Y UW M IH D AH F AY Z
265,HUGHLEY,Y UW L IY
266,TORNADOES,T AO R N EY D OW Z
267,PALMERINO,P AO L M EH R IY N OW
268,PETRO,P EH T R OW
269,INCLUDING,IH N K L UW D IH NG
270,FELDBLUM,F EH L D B L AH M
271,AILUROPHILE,EY L UH R AH F AY L
272,COALITIONS,K OW AH L IH SH AH N Z
273,DEQUEKER,D IH K W EH K ER
274,CRAIGIE,K R EY G IY
275,ARISTA,ER IH S T AH
276,WORKSHEETS,W ER K SH IY T S
277,ZOETE,Z OW T IY
278,PRIMROSES,P R IH M R OW Z AH Z
279,STAIN,S T EY N
280,ARVIDSON,AA R V IH D S AH N
281,BOISTEROUS,B OY S T R AH S
282,CRAGIN,K R AE JH IH N
283,GEPHARDT,G EH P HH AA R T
284,DELSIGNORE,D EH L S IY G N AO R IY
285,PILKENTON,P IH L K EH N T AH N
286,TUZZOLINO,T UW T S OW L IY N OW
287,STEVER,S T IY V ER
288,GROHS,G R OW S
289,LASSETER,L AE S IY T ER
290,JUDICATE,JH UW D IH K EY T
291,HEIFERS,HH EH F ER Z
292,LUNZ,L AH N Z
293,MARGOLIN,M AA R G AH L IH N
294,CRYING,K R AY IH NG
295,LEIMAN,L AY M AH N
296,MEGABUCKS,M EH G AH B AH K S
297,QUENZER,K W EH N Z ER
298,BULFINCH'S,B UH L F IH N CH IH Z
299,KRISTOFFERSON,K R IH S T AO F ER S AH N
300,REDONE,R IY D AH N
301,BOAS,B OW AH Z
302,SIMS',S IH M Z
303,EXCEEDS,IH K S IY D Z
304,DYSTROPHY,D IH S T R AH F IY
305,ROBUSTELLI,R OW B AH S T EH L IY
306,GEISSLER,G AY S L ER
307,RUTKOWSKI,R AH T K AO F S K IY
308,CURRENT'S,K ER AH N T S
309,PETRACCA,P EH T R AA K AH
310,FAWVER,F AO V ER
311,ALBANESE,AA L B AA N EY Z IY
312,GRANDDAUGHTER'S,G R AE N D AO T ER Z
313,DRAPERIES,D R EY P ER IY Z
314,PODRAZA,P OW D R AA Z AH
315,ENCOUNTERED,IH N K AW N T ER D
316,FINDLEY,F IH N D L IY
317,STRINGENT,S T R IH N JH AH N T
318,BANKNOTES,B AE NG K N OW T S
319,ALCATEL,AE L K AH T EH L
320,VALENZANO,V AE L EH N Z AA N OW
321,MARRINER,M EH R IH N ER
322,TEUBNER,T OY B N ER
323,WAFFLED,W AA F AH L D
324,PACKAGERS,P AE K IH JH ER Z
325,BROSTROM,B R AA S T R AH M
326,DOMINOS,D AA M IH N OW Z
327,GRAS,G R AA
328,MAGINNIS,M AE JH IH N IH S
329,CAMILLA,K AH M IH L AH
330,GEHRMAN,G EH R M AH N
331,MONISMS,M AA N IH Z AH M Z
332,BRUTALIZATION,B R UW T AH L AH Z EY SH AH N
333,DETERMINES,D AH T ER M AH N Z
334,FERNAU,F ER N AW
335,DENATALE,D IH N AA T AA L IY
336,GRIPE,G R AY P
337,SHOVER,SH AH V ER
338,STIGMA,S T IH G M AH
339,MIDSHIPMEN'S,M IH D SH IH P M EH N Z
340,ASPIRANTS,AE S P ER AH N S
341,MCGRANAHAN,M AH G R AE N AH HH AE N
342,AINLEY,EY N L IY
343,LAMBASTES,L AE M B AE S T S
344,ERAZO,EH R AA Z OW
345,FLOATING,F L OW T IH NG
346,GUCK,G AH K
347,ITALY,IH T AH L IY
348,BARRECA,B AA R EH K AH
349,AMATEUR,AE M AH T ER
350,FREELAND,F R IY L AH N D
351,CONGREGATED,K AA NG G R IH G EY T IH D
352,BLAIR,B L EH R
353,HARTMAN,HH AA R T M AH N
354,BUNKE,B AH NG K
355,POSA,P OW S AH
356,POSTGAME,P OW S T G EY M
357,REPLACE,R IY P L EY S
358,ROOMY,R UW M IY
359,WHEELED,W IY L D
360,ANNISTON,AE N IH S T IH N
361,FEEBACK,F IY B AE K
362,AMPLIFIERS,AE M P L AH F AY ER Z
363,YORRICK,Y AO R IH K
364,FARLOW,F AA R L OW
365,DORAZIO,D AO R EY Z IY OW
366,PEPPERIDGE,P EH P ER IH JH
367,INEFFICIENCIES,IH N IH F IH SH AH N S IY Z
368,MAROLF,M AE R OW L F
369,ECOLOGISTS,IH K AA L AH JH IH S T S
370,WETTSTEIN,W EH T S T AY N
371,DIRECTNESS,D AY R EH K N AH S
372,PRAWN,P R AO N
373,USE,Y UW Z
374,BATHKE,B AE TH K
375,PONDER,P AA N D ER
376,DISHWASHER,D IH SH W AA SH ER
377,COOKMAN,K UH K M AH N
378,STEAMBOATS,S T IY M B OW T S
379,KAVAN,K EY V AH N
380,JAN.,JH AE N
381,DZOKHAR,JH OW K AA R
382,DMITRI,D AH M IY T R IY
383,PONTIFICATES,P AA N T IH F AH K EY T S
384,CONTAMINANT,K AH N T AE M AH N AH N T
385,IMMOLATES,IH M AH L EY T S
386,STATHAM,S T AE TH AH M
387,GIBLET,JH IH B L AH T
388,PETRUZZELLI,P EH T R UW T S EH L IY
389,KOSOWSKI,K AH S AO F S K IY
390,HEICO'S,HH AY K OW Z
391,OKPO,AA K P OW
392,BLACKSTONE'S,B L AE K S T OW N Z
393,MARVELING,M AA R V AH L IH NG
394,MICROPALEONTOLOGY,M AY K R OW P EY L IY AH N T AA L AH JH IY
395,RAMONE,R AH M OW N
396,TEMBLOR,T EH M B L ER
397,LONDO,L AA N D OW
398,RADKE,R AE D K IY
399,STONECIPHER,S T OW N S AY F ER
400,DORINE,D AO R IY N IY
401,HEARON,HH IH R AH N
402,GUESSTIMATES,G EH S T IH M EY T S
403,MICROCHIPS,M AY K R OW CH IH P S
404,MCNALLY,M AH K N AE L IY
405,MAZES,M EY Z IH Z
406,TRICKETT,T R IH K IH T
407,LES,L EY
408,NORTHROP'S,N AO R TH R AH P S
409,LEAFHOPPERS,L IY F HH AA P ER Z
410,PERTURBATIONS,P ER T ER B EY SH AH N Z
411,ENDURE,EH N D Y UH R
412,MINNIE,M IH N IY
413,SHEPPERD,SH EH P ER D
414,ISIDORE,IH Z IH D AO R
415,OXNARD,AA K S N ER D
416,UNTHINKINGLY,AH N TH IH NG K IH NG L IY
417,DETACHABLE,D IH T AE CH AH B AH L
418,MELE,M IY L
419,MUNZ,M AH N Z
420,ERSTWHILE,ER S T W AY L
421,ELENORE,EH L IH N ER
422,VIS,V IH S
423,CULT'S,K AH L T S
424,SPEEDSKATING,S P IY D S K EY T IH NG
425,RAZE,R EY Z
426,PROPPING,P R AA P IH NG
427,MAKRIS,M AE K R IH S
428,BUNGEY,B AH N JH IY
429,DADY,D EY D IY
430,MUSTARDS,M AH S T ER D Z
431,FALMOUTH,F AE L M AH TH
432,IXION,IH K S AY AH N
433,GLIMPSED,G L IH M P S T
434,SERVES,S ER V Z
435,WATCHED,W AO CH T
436,JENSEN,JH EH N S AH N
437,SOLICITORS,S AH L IH S AH T ER Z
438,CALLER'S,K AO L ER Z
439,LENSES,L EH N Z IH Z
440,TURQUOISE,T ER K W OY Z
441,HOSTERMAN,HH OW S T ER M AH N
442,MAYHAN,M EY AH N
443,COPYCAT,K AA P IY K AE T
444,BRIDIE,B R IH D IY
445,PERUSE,P ER UW Z
446,SUB,S AH B
447,CARMELITE,K AA R M AH L AY T
448,CHIPOTE,CH IH P OW T
449,NARDI,N AA R D IY
450,HASHER,HH AE SH ER
451,BURWICK,B ER W IH K
452,ELECTROSPACE,IH L EH K T R OW S P EY S
453,AMPUTATE,AE M P Y AH T EY T
454,FARWELL,F AA R W EH L
455,UNINTENTIONAL,AH N IH N T EH N SH AH N AH L
456,KRIGER,K R AY G ER
457,MASTRIANO,M AA S T R IY AA N OW
458,ALONGI,AA L OW NG G IY
459,ROLODEX,R OW L AH D EH K S
460,LOVINGLY,L AH V IH NG L IY
461,FALKENSTEIN,F AO K AH N S T AY N
462,GRAVEYARDS,G R EY V Y AA R D Z
463,NIKON,N AY K AA N
464,SZOTT,SH AA T
465,MUTSCH,M AH CH
466,TAMIAMI,T AE M IY AE M IY
467,HAGEMEYER,HH AE G IH M AY ER
468,SUPERDRUG,S UW P ER D R AH G
469,AGENT,EY JH AH N T
470,DECOSTER,D EH K AH S T ER
471,SANTORELLI,S AA N T AO R EH L IY
472,BOVIN,B OW V IH N
473,ABDOMINAL,AE B D AA M AH N AH L
474,SWICEGOOD,S W IH S IH G UH D
475,NICKNAME,N IH K N EY M
476,LEINO,L EY IY N OW
477,TRIBBLES,T R IH B AH L Z
478,IGLESIAS,IH G L EY S IY IH S
479,COONE,K UW N
480,APPAREL,AH P AE R AH L
481,MISDIAGNOSES,M IH S D AY IH G N OW S IY Z
482,KANTOR'S,K AE N T ER Z
483,MACHINES',M AH CH IY N Z
484,BECKMANN,B EH K M AH N
485,BANANAS,B AH N AE N AH Z
486,CUNNIFF,K AH N IH F
487,ASTRONOMICAL,AE S T R AH N AA M IH K AH L
488,BAUCH,B AO CH
489,HILSCHER,HH IH L SH ER
490,PLAN'S,P L AE N Z
491,ALLMON,AO L M AH N
492,MOHRMANN,M AO R M AH N
493,ENDEAVOR'S,IH N D EH V ER Z
494,DRILLER,D R IH L ER
495,CORSICAN,K AO R S AH K AH N
496,WAIGEL,W AY G AH L
497,INGHRAM,IH NG G R AE M
498,MELICENT,M EH L IH S AH N T
499,TEIKOKU,T EY K OW K UW
500,EXCLAIMING,IH K S K L EY M IH NG
501,ASTRO,AE S T R OW
502,BABOONS,B AH B UW N Z
503,POUNDING,P AW N D IH NG
504,KLAUSNER,K L AW S N ER
505,WILLAMETTE'S,W AH L AE M AH T S
506,ENUMERATES,IH N UW M ER EY T S
507,IGOR,IH G AO R
508,ICICLES,AY S IH K AH L Z
509,PROCESSED,P R AA S EH S T
510,SEIDMAN'S,S AY D M AH N Z
511,ELVINGTON,EH L V IH NG T AH N
512,ENCOURAGES,EH N K ER IH JH IH Z
513,BAM,B AE M
514,ATALAYA,AA T AA L EY AH
515,STEBER,S T IY B ER
516,KREISER,K R AY S ER
517,EQUANIMITY,IY K W AH N IH M IH T IY
518,LAWTHER,L AO DH ER
519,BLEILER,B L AY L ER
520,MAEDER,M EH D ER
521,KALT,K AO L T
522,HOUSED,HH AW Z D
523,SELKIRK'S,S EH L K ER K S
524,TEENIE,T IY N IY
525,RADCLIFF,R AE D K L IH F
526,TEHERANI'S,T EH HH ER AA N IY Z
527,KASH,K AE SH
528,SUPERFUND,S UW P ER F AH N D
529,COLLOQUY,K AA L AH K W IY
530,APNEA,AE P N IY AH
531,HABECK,HH AA B EH K
532,BLINDED,B L AY N D IH D
533,FILYAW,F IH L Y AW
534,FLAUGHER,F L AO ER
535,NEWSFLASH,N UW S F L AE SH
536,DOGMATICALLY,D AA G M AE T IH K L IY
537,EMPATHY,EH M P AH TH IY
538,INVERSE,IH N V ER S
539,SIDEMAN,S AY D M AE N
540,CIOLINO,CH OW L IY N OW
541,FILIPINOS,F IH L AH P IY N OW Z
542,TREMAYNE,T R EH M EY N
543,ENROLLS,EH N R OW L Z
544,TRAPPING,T R AE P IH NG
545,GRIEVES,G R IY V Z
546,SHERBURNE,SH ER B ER N
547,CHRONOWITZ,K R AA N AH W IH T S
548,LOIRE,L OY R
549,ANGLEN,AE NG G AH L AH N
550,AMPHETAMINES,AE M F EH T AH M IY N Z
551,FURUKAWA,F UH R UW K AA W AH
552,FLUOR'S,F L UW ER Z
553,DAVYDOV,D EY V IH D AO V
554,MADDOCKS,M AE D AH K S
555,WORKER,W ER K ER
556,BARNHARDT,B AA R N HH AA R T
557,AMPLICONS,AE M P L IH K AO N Z
558,EDWIN,EH D W IH N
559,POUTED,P AW T IH D
560,ODEN,OW D AH N
561,SHARPENING,SH AA R P N IH NG
562,SOLE,S OW L
563,ENDEVCO,EH N D EH V K OW
564,SEBEK,S EH B IH K
565,IMMIGRANT'S,IH M AH G R AH N T S
566,NEELEY,N IY L IY
567,PENBERTHY,P IH N B ER TH IY
568,RESTARTED,R IY S T AA R T IH D
569,OKUROWSKI,OW K ER OW S K IY
570,GOMBERT,G AA M B ER T
571,AUTOMATICS,AO T AH M AE T IH K S
572,HANTA,HH AE N T AH
573,ALLERGIST,AE L ER JH AH S T
574,HODGDON,HH AA JH D AH N
575,LEHMER,L EH M ER
576,HAFEZ,HH AA F EH Z
577,CENTERS',S EH N ER Z
578,ARNST,AA R N S T
579,LICKETY,L IH K AH T IY
580,EISENMANN,AY Z AH N M AH N
581,TENDERLOIN,T EH N D ER L OY N
582,SIEKIERSKI,S IY K IH R S K IY
583,WHITWAM,HH W IH T W AA M
584,TRIUMPH,T R AY AH M F
585,NYMPHOMANIAC,N IH M F OW M EY N IY AE K
586,UNHOLY,AH N HH OW L IY
587,ROCARD,R OW SH AA R D
588,LEVITT'S,L EH V IH T S
589,PICASSO'S,P IH K AA S OW Z
590,BOULAY,B UW L EY
591,WHICH,W IH CH
592,ANDRADA,AA N D R AA D AH
593,LAFRANCE,L AH F R AE N S
594,SALIM,S AA L IY M
595,GRUCCI,G R UW CH IY
596,CAPRI'S,K AE P R IY Z
597,WELTMAN,W EH L T M AH N
598,DUSTS,D AH S T S
599,GOV,G AH V
600,OSTENSIBLE,AA S T EH N S AH B AH L
601,KISSER,K IH S ER
602,HUTTO,HH UW T OW
603,GLACIATED,G L EY S IY EY T AH D
604,PICKS,P IH K S
605,EDUCATIONS,EH JH AH K EY SH AH N Z
606,WEHRLY,W EH R L IY
607,LOAN,L OW N
608,VALDA,V AA L D AH
609,KRISS,K R IH S
610,GRENIER,G R IY N IY ER
611,YANI,Y AA N IY
612,COSSIN,K AA S IH N
613,NICKERSON,N IH K ER S AH N
614,MANDATO,M AA N D AA T OW
615,INDOCTRINATION,IH N D AA K T R AH N EY SH AH N
616,HAYNER,HH EY N ER
617,BARBANO,B AA R B AA N OW
618,SUHARTO'S,S UW HH AA R T OW Z
619,WITHEM,W IH TH IH M
620,SCHIFERON'S,SH IH F R AO N Z
621,LEARJET,L IH R JH EH T
622,ROLLOUT,R OW L AW T
623,CONNELLY'S,K AA N AH L IY Z
624,BAME,B EY M
625,FIATO,F IY AE T OW
626,AUDITORS',AO D IH T ER Z
627,LAMETA,L AH M EH T AH
628,MEDOC,M EH D AO K
629,MERITING,M EH R AH T IH NG
630,BOCKELMAN,B AA K AH L M AH N
631,INTI,IH N T IY
632,ARRENDONDO,AA R EH N D OW N D OW
633,CUNNEEN,K AH N IY N
634,POLAK,P OW L AH K
635,HALLORAN,HH AE L ER AH N
636,DANGEROUSLY,D EY N JH ER AH S L IY
637,LONRHO,L AA N R OW
638,EPISODES,EH P IH S OW D Z
639,INVESTIGATORS',IH N V EH S T AH G EY T ER Z
640,HERSHISER,HH ER SH AY Z ER
641,MARSCHKE,M AA R SH K
642,VOUCHER,V AW CH ER
643,MILBAUER,M IH L B AW ER
644,TOTH,T AA TH
645,SREBRENICA'S,S R EY B R EH N IY T S AH Z
646,GENERATES,JH EH N ER EY T S
647,SEVENTEEN,S EH V AH N T IY N
648,ELICIT,IH L IH S IH T
649,MALAGASY,M AE L AH G AE S IY
650,ORTMANN,AO R T M AH N
651,AKZOS,AE K Z OW Z
652,PASQUE,P AE S K
653,CRANEY,K R EY N IY
654,ELLIS,EH L IH S
655,SOUK,S UW K
656,YENE,Y EH N IY
657,LOWEY,L OW IY
658,LOCOMOTIVE,L OW K AH M OW T IH V
659,PENNEY,P EH N IY
660,CONAGRA'S,K AA N AE G R AH Z
661,WENNING,W EH N IH NG
662,EYESIGHT,AY S AY T
663,OWNER'S,OW N ER Z
664,NE(4),N EY
665,ISLAMIYA,IH S L AA M IY AH
666,FRITO,F R IY T OW
667,VAZ,V AE Z
668,DREDGED,D R EH JH D
669,DISCARDS,D IH S K AA R D Z
670,LEFLORE,L EH F L ER
671,VITAMINS,V AY T AH M AH N Z
672,GARAMENDI'S,G EH R AH M EH N D IY Z
673,MONTEFORTE,M OW N T EH F AO R T IY
674,DISARMED,D IH S AA R M D
675,PUERTO_RICO,P AO R T AH R IY K OW
676,RAMPANT,R AE M P AH N T
677,KRAKOWER,K R AE K OW ER
678,REVERT,R IY V ER T
679,JOCELYNE,JH AO S L IH N
680,BRUSO,B R UW S OW
681,STICKIER,S T IH K IY ER
682,CHUM,CH AH M
683,MAGNIFICATION,M AE G N AH F AH K EY SH AH N
684,BALES,B EY L Z
685,BENITO,B IH N IY T OW
686,THOUGHTS,TH AO T S
687,STATEMENT'S,S T EY T M AH N T S
688,LATULIPPE,L AA T UW L IY P IY
689,REDUCTIONS,R IY D AH K SH AH N Z
690,PAZUTO,P AH Z UW T OW
691,LAFAVRE,L AH F EY V ER
692,NONSMOKER,N AA N S M OW K ER
693,COSTIN,K AA S T IH N
694,RETREADING,R IY T R EH D IH NG
695,HALBERSTAM,HH AE L B ER S T AE M
696,GRINDE,G R IH N D
697,SWEANEY,S W IY N IY
698,TENANT'S,T EH N AH N T S
699,SEMIFINALISTS,S EH M AY F AY N AH L IH S T S
700,SMALLTALK,S M AO L T AO K
701,STRAIGHTFORWARDLY,S T R EY T F AO R W ER D L IY
702,POLACHEK,P AA L AH K IH K
703,STEKLY,S T EH K L IY
704,SAPPHIRES,S AE F AY ER Z
705,MATUSIK,M AH T UW S IH K
706,JAWBONE,JH AO B OW N
707,PRANGER,P R EY N JH ER
708,FRAHM,F R AE M
709,DEEL,D IY L
710,WEISSBERG,W AY S B ER G
711,DISCOLORATION,D IH S K AH L ER EY SH AH N
712,MEI,M EY
713,THERMAL,TH ER M AH L
714,ACQUAINTANCE,AH K W EY N T AH N S
715,STEADINESS,S T EH D IY N IH S
716,INDERAL,IH N D ER AH L
717,BAZZANO,B AA T S AA N OW
